path,status,category,bytes,reason,restore_when
00_ドキュメント分類一覧.md,review,未分類,5816,レビュー/差分確認用。正本化されていないため除外,個別機能の詳細が必要になったとき
02_v2統合分割仕様/実装仕様_v2_00_目次.md,review-archive,v2分割仕様,1445,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
02_v2統合分割仕様/実装仕様_v2_01_スコープ責務.md,review-archive,v2分割仕様,436,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
02_v2統合分割仕様/実装仕様_v2_02_ルーティング.md,review-archive,v2分割仕様,642,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
02_v2統合分割仕様/実装仕様_v2_03_ループ再ルート.md,review-archive,v2分割仕様,574,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
02_v2統合分割仕様/実装仕様_v2_04_IO契約.md,review-archive,v2分割仕様,589,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
02_v2統合分割仕様/実装仕様_v2_05_ワーカー.md,review-archive,v2分割仕様,676,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
02_v2統合分割仕様/実装仕様_v2_06_セキュリティ.md,review-archive,v2分割仕様,464,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
02_v2統合分割仕様/実装仕様_v2_07_ログ.md,review-archive,v2分割仕様,608,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
02_v2統合分割仕様/実装仕様_v2_08_Prompt宣言.md,review-archive,v2分割仕様,464,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
02_v2統合分割仕様/実装仕様_v2_09_状態管理.md,review-archive,v2分割仕様,468,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
02_v2統合分割仕様/実装仕様_v2_10_設定閾値.md,review-archive,v2分割仕様,488,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
02_v2統合分割仕様/実装仕様_v2_11_テスト.md,review-archive,v2分割仕様,488,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
02_v2統合分割仕様/実装仕様_v2_12_既存分割との関係.md,review-archive,v2分割仕様,485,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
02_v2統合分割仕様/実装仕様_v2_統合版.md,review-archive,v2分割仕様,6978,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
02_v2統合分割仕様/実装仕様_章再編案_v2.md,review-archive,v2分割仕様,3379,履歴/旧仕様/確認用。正本ではないため除外,正本との齟齬確認、または章分割形式で実装章を再編するとき
03_旧分割仕様アーカイブ/実装仕様_01.md,archive,旧仕様,7747,履歴/旧仕様/確認用。正本ではないため除外,過去判断の監査が必要なときのみ。正本としては戻さない
03_旧分割仕様アーカイブ/実装仕様_02.md,archive,旧仕様,7156,履歴/旧仕様/確認用。正本ではないため除外,過去判断の監査が必要なときのみ。正本としては戻さない
03_旧分割仕様アーカイブ/実装仕様_03.md,archive,旧仕様,17022,履歴/旧仕様/確認用。正本ではないため除外,過去判断の監査が必要なときのみ。正本としては戻さない
03_旧分割仕様アーカイブ/実装仕様_04.md,archive,旧仕様,7765,履歴/旧仕様/確認用。正本ではないため除外,過去判断の監査が必要なときのみ。正本としては戻さない
03_旧分割仕様アーカイブ/実装仕様_05.md,archive,旧仕様,6826,履歴/旧仕様/確認用。正本ではないため除外,過去判断の監査が必要なときのみ。正本としては戻さない
03_旧分割仕様アーカイブ/実装仕様_06.md,archive,旧仕様,5640,履歴/旧仕様/確認用。正本ではないため除外,過去判断の監査が必要なときのみ。正本としては戻さない
03_旧分割仕様アーカイブ/実装仕様_07.md,archive,旧仕様,4015,履歴/旧仕様/確認用。正本ではないため除外,過去判断の監査が必要なときのみ。正本としては戻さない
03_旧分割仕様アーカイブ/実装仕様_アーカイブ一覧.md,archive,旧仕様,1167,履歴/旧仕様/確認用。正本ではないため除外,過去判断の監査が必要なときのみ。正本としては戻さない
04_監査差分分析/仕様_実装仕様_対応表.md,reference,監査/差分,11116,参照資料。通常の理解・構築判断では入口にしない,仕様と実装の対応表/差分を監査するとき
04_監査差分分析/仕様_実装仕様_差分メモ.md,reference,監査/差分,4967,参照資料。通常の理解・構築判断では入口にしない,仕様と実装の対応表/差分を監査するとき
05_LLM運用プロンプト設計/API利用者ガイド.md,support-active,LLM/プロンプト/ペルソナ,9021,補助的な現行資料。対応機能を触る時だけ戻す,LLM/provider/prompt資産の具体設定を更新するとき
05_LLM運用プロンプト設計/CHAT_PERSONA設計.md,support-active,LLM/プロンプト/ペルソナ,7831,補助的な現行資料。対応機能を触る時だけ戻す,LLM/provider/prompt資産の具体設定を更新するとき
